ID,Nome,Detalhes,Ano de Matr¡cula,Lugar de Origem,X,Y
4343,"Owen, Griffin","of co. Anglesey. Christ Church, matric. 19 June, 1610, aged 22; ""paup. scholaris.""",1610,Anglesey,241852.669380709,379325.035624352
4356,"Owens, Stukeley","s. William, of Malltraith, co. Anglesea, pleb. Hart Hall, matric. 13 Dec., 1622, aged 18. [35]",1622,Anglesey,241852.669380709,379325.035624352
4359,"Owens, William","of co. Anglesea, pleb. Hart Hall, matric. 25 Oct., 1616, aged 15.",1616,Anglesey,241852.669380709,379325.035624352
4714,"Powell, John","of Anglesey, pleb. Magdalen Coll., matric. 5 July, 1617, aged 20; demy 1614-20, B.A. 10 Feb., 1617-18. See Bloxam, v. 46.",1617,Anglesey,241852.669380709,379325.035624352
4774,"Price, Richard","of co. Anglesea, pleb. All Souls' Coll., matric. 19 Jan., 1615-16, aged 19; B.A. from Hart Hall 6 Feb., 1615-16; M.A. from All Souls' Coll. 9 July, 1619. [25]",1615,Anglesey,241852.669380709,379325.035624352
4775,"Price, Richard","of co. Anglesea, pleb. New Coll., matric. 16 Nov., 1621, aged 19, B.A. 5 July, 1625; M.A. from Hart Hall 3 July, 1628.",1621,Anglesey,241852.669380709,379325.035624352
4791,"Prichard, Rice","of co. Anglesea, pleb. Christ Church, matric. 24 Jan., 1616-17, aged 23, B.A. 28 Feb., 1616-17; M.A. from Hart Hall 8 July, 1619, incorporated at Cambridge 1628; perhaps rector of Mongwell, Oxon, 1621. See Foster's Index Eccl.",1616,Anglesey,241852.669380709,379325.035624352
4792,"Prichard, Robert","of co. Anglesey, pleb. Christ Church, matric. 22 Feb., 1619-20, aged 22; B.A. 24 Feb., 1619-20; one of these names beneficed in Flints. See Foster's Index Eccl.",1619,Anglesey,241852.669380709,379325.035624352
4800,"Prichard, William","s. Richard, of Llangeinwen, co. Anglesey, pleb. Christ Church, matric. 13 May, 1625, aged 20.",1625,Anglesey,241852.669380709,379325.035624352
5558,"Stapyltonn, Robert","of Anglesey, militis fil. Balliol Coll., matric. 19 June, 1607, aged 17, B.A. 14 Oct., 1609; M.A. from Gloucester Hall 6 July, 1615; (4s. Sir Robert), vicar of Laycock, Wilts, 1616; brother of Brian 1604. See Foster's Index Eccl.",1607,Anglesey,241852.669380709,379325.035624352
5801,"Thomas, Hugh","of co. Anglesea, pleb. Hart Hall, matric. 2 Nov., 1621, aged 19.",1621,Anglesey,241852.669380709,379325.035624352
6432,"Williames, Evan","s. ""Wm. Prichard,"" of Bodurog, co. Anglesea, pleb. Jesus Coll., matric. 30 April, 1624, aged 19, B.A. 5 July, 1626, M.A. 9 July, 1629.",1624,Anglesey,241852.669380709,379325.035624352
6445,"Williams, John","s. William, of Amlwch, co. Anglesea, pleb. Christ Church, matric. 13 May, 1625, aged 22, B.A. 18 Feb., 1625-6. [35]",1625,Anglesey,241852.669380709,379325.035624352
6465,"Williams, Thomas","of co. Anglesea, pleb. Oriel Coll., matric. 11 April, 1617, aged 17; perhaps bar.-at-law, Lincoln's Inn, 1625, treasurer 1655, as son and heir of Hugh, of Eskeviog, co. Anglesey, gen. See Foster's Judges and Barristers.",1617,Anglesey,241852.669380709,379325.035624352
6472,"Williams, William","of co. Anglesea, arm. fil. max. St. Edmund Hall, matric. 7 Dec., 1621, aged 18, B.A. 25 Oct., 1623, possibly student of Gray's Inn 1624, as son and heir of Richard, of Llysdylais, co. Anglesey, esq. See Foster's Gray's Inn Reg.",1621,Anglesey,241852.669380709,379325.035624352
6568,"Wood, Patrick","of co. ""Angesse"" (Angus), gent. Christ Church, matric. 15 July, 1605, aged 15.",1605,Anglesey,241852.669380709,379325.035624352
72,"Alvey, Joseph","of Beds, 'cler. fil.' Trinity Coll., matric. 15 Oct., 1619, aged 19; B.A. 27 June, 1621, M.A. 28 May, 1625.",1619,Bedfordshire,506442.008098981,243470.283295758
96,"Andrewes, Thomas","of Beds, pleb. Oriel Coll., matric. 26 Feb., 1607-8, aged 15; fellow Corpus Christi Coll., B.A. 12 Oct., 1611, M.A. 24 Jan., 1614-15, died in 1617. See Gutch, i. 408.",1607,Bedfordshire,506442.008098981,243470.283295758
878,"Burton, William","s. Thomas, of Gayton, Beds, pleb. Queen's Coll., matric. 1 July, 1625, aged 16; B.A. 24 Oct., 1628. [15]",1625,Bedfordshire,506442.008098981,243470.283295758
1271,"Conquest, Miles","of Beds, militis. fil. Christ Church, matric. 30 Oct., 1612, aged 14 (son of Edmond); born 9 Oct., 1598, brother of the next named.",1612,Bedfordshire,506442.008098981,243470.283295758
1272,"Conquest, Richard","of Beds, militis. fil. Christ Church, matric. 30 Oct., 1612, aged 15; of the Middle Temple 1614 (as son and heir of Edmund, of Houghton Conquest, Beds, knight), born 25 Sept., 1597, brother of Miles. See Foster's Inns of Court Reg.",1612,Bedfordshire,506442.008098981,243470.283295758
1758,"Dutton, Thomas","s. Thomas, of Eversholt, Beds, sacerd. Merton Coll., matric. 20 Jan., 1625-6, aged 18; B.A. 3 Dec., 1628, M.A. 5 July, 1632, his father compounded for the first fruits of the rectory of Eversholt 28 Jan., 1602-3. See Foster's Index Ecclesiasticus.",1625,Bedfordshire,506442.008098981,243470.283295758
2005,"Finch, Richard","of Beds, pleb. Christ Church, matric. 20 June, 1606, aged 17; B.A. 4 July, 1609.",1606,Bedfordshire,506442.008098981,243470.283295758
2113,"Fowler, Thomas","of Beds, pleb. New Inn Hall, matric. 12 June, 1618, aged 18.",1618,Bedfordshire,506442.008098981,243470.283295758
2722,"Hatley, William","of Beds, arm. Trinity Coll., matric. 3 Nov., 1615, aged 18; B.A. 1 July, 1619, M.A. 26 June, 1622 (perhaps submitted to the visitors 5 May, 1648, this may rather refer to the next-named).",1615,Bedfordshire,506442.008098981,243470.283295758
2854,"Hill, Nathaniel","s. Humphrey, of Tingrave, Beds, sacerd. Pembroke Coll., matric. 16 Dec., 1625, aged 18; B.A. 22 Feb., 1627-8, M.A. 15 June, 1630, rector of Bergh-Apton, Norfolk, 1638. See Foster's Index Eccl.",1625,Bedfordshire,506442.008098981,243470.283295758
3100,"Hurleston, Humfry","of Beds, arm. St. Mary Hall, matric. 1 July, 1603, aged 17; bar.-at-law, of the Inner Temple, 1620 (as of Cardington, Beds, gen.); buried in the Temple church 2 Nov., 1660. See Foster's Judges and Barristers.",1603,Bedfordshire,506442.008098981,243470.283295758
3263,"Johnson, William","of Beds, gent. Brasenose Coll., matric. 26 Oct., 1604, aged 15. [36]",1604,Bedfordshire,506442.008098981,243470.283295758
3503,"Langford, Charles","born in Beds, s. John, of Northall, Bucks, gent. New Coll., matric. 14 Nov., 1623, aged 16, B.C.L, 8 April, 1630.",1623,Bedfordshire,506442.008098981,243470.283295758
3581,"Lea, John","s. John, of Leighton, Beds, pleb. Magdalen Coll., matric. 10 Feb., 1625-6, aged 23; B.A. 16 Feb., 1625-6, M.A. 3 Dec., 1628.",1625,Bedfordshire,506442.008098981,243470.283295758
4594,"Pickering, William","of Beds, pleb. Magdalen Coll., matric. 6 Nov., 1618, aged 19; clerk 1619-24, B.A. 11 May, 1621. See Bloxam, ii. 58.",1618,Bedfordshire,506442.008098981,243470.283295758
4700,"Potts, Crofts","of Beds, arm. Oriel Coll. matric. 11 Oct., 1613, aged 14, B.A. 27 June, 1617; M.A. from All Souls' Coll. 8 May, 1620; baptised at Chalgrave, Beds (s. Nicholas), 16 Oct., 1599; brother of John 1601, and of Sandes.",1613,Bedfordshire,506442.008098981,243470.283295758
4744,"Pressy, Edmund","of Beds, arm. Trinity Coll., matric. 6 Nov., 1618, aged 18; rather ""Bressey,"" see Foster's Gray's Inn Reg., etc.; and perhaps baptised at Maulden 8 July, 1599, as son of Edmund, gent.",1618,Bedfordshire,506442.008098981,243470.283295758
5183,"Saunders, Thomas","of Beds, arm. Exeter Coll., matric. 3 Nov., 1609, aged 17.",1609,Bedfordshire,506442.008098981,243470.283295758
5434,"Smith, Thomas","of Beds, cler. fil. Lincoln Coll., matric. 23 April, 1619, aged 17, B.A. 7 Nov., 1622, M.A. 27 June, 1625, B. and D.Med. and licenced to practice medicine 24 July, 1633, perhaps created D.Med. 1 Nov., 1642; brother of James 1622-3.",1619,Bedfordshire,506442.008098981,243470.283295758
6259,"Welles, John","of Beds, cler. fil. Brasenose Coll., matric. 7 April, 1609, aged 16, B.A. 21 Oct., 1612, M.A. 17 June, 1615; perhaps vicar of Thurning, Hunts, 1627. See Foster's Index Eccl.",1609,Bedfordshire,506442.008098981,243470.283295758
6264,"Welles, Thomas","of Beds, pleb. Hart Hall, matric. 2 Nov., 1621, aged 18, B.A. 26 Jan., 1623-4.",1621,Bedfordshire,506442.008098981,243470.283295758
6265,"Welles, William","of Beds, cler. fil. St. Mary Hall, matric. 30 Oct., 1607, aged 18; B.A. from Oriel Coll. 21 Jan., 1610-11, M.A. 9 July, 1613; perhaps rector of Ickworth 1614, and of Rougham, (both) Suffolk, 1620, canon of Norwich 1613. See Foster's Index Eccl.",1607,Bedfordshire,506442.008098981,243470.283295758
6368,"Whitstones, Edward (Whytstones)","of Beds, pleb. Lincoln Coll., matric. entry 5 May, 1615, aged 14.",1615,Bedfordshire,506442.008098981,243470.283295758
6530,"Wingate, John","of Beds, arm. Queen's Coll., matric. 29 Nov., 1616, aged 17; student of Middle Temple 1617, as son and heir of Robert, of Leighton Buzzard, Beds, esq., deceased. See Foster's Inns of Court Reg.",1616,Bedfordshire,506442.008098981,243470.283295758
6548,"Withers, Oliver (Wythers)","of Beds, gent. Hart Hall, matric. 5 May, 1615, aged 20.",1615,Bedfordshire,506442.008098981,243470.283295758
40,"Alexander, James","of Berks, arm. Queen's Coll., matric. 16 June, 1610, aged 15.",1610,Berkshire,455042.122728199,179742.716376643
54,"Allen, Joseph","of Berks, 'cler. fil.' Magdalen Hall, matric. 17 April, 1618, aged 16; B.A. 12 June, 1621, M.A. 16 April, 1624.",1618,Berkshire,455042.122728199,179742.716376643
59,"Allen, Richard","of Berks, pleb. Balliol Coll., matric. 16 July, 1621, aged 16, B.A. 10 June, 1624; fellow of Pembroke Coll., M.A. 17 April, 1627. See Ath. Ox., iii. 262.",1621,Berkshire,455042.122728199,179742.716376643
99,"Anger, Stephen","of Berks, gent. St. John's Coll., matric. 15 Nov., 1605, aged 17. For one of this name, 1570, see Robinson, i. 13.",1605,Berkshire,455042.122728199,179742.716376643
158,"Atkins, George","s. Francis, of Bucklebury, Berks, pleb. Christ Church, matric. 10 Feb., 1625-6, aged 20; B.A. 6 July, 1627.",1625,Berkshire,455042.122728199,179742.716376643
164,"Atkinson, Richard","of Berks, 'cler. fil.' Magdalen Hall, matric. 31 May, 1616, aged 21; B.A. 6 June, 1616. See Foster's Index Ecclesiasticus.",1616,Berkshire,455042.122728199,179742.716376643
180,"Avery, Joseph","of Berks, pleb. Queen's Coll., matric. 28 April, 1615, aged 15; B.A. from St. Edmund Hall 10 July, 1618, M.A. 19 April, 1621, vicar of Romsey, Hants, 1626. See Foster's Index Ecclesiasticus.",1615,Berkshire,455042.122728199,179742.716376643
199,"Ayshcombe, William","3s. John, of Lyford, Berks, arm. Queen's Coll., matric. 14 Feb., 1622-3, aged 16; bar.-at-law Middle Temple 1633. See Foster's Judges and Barristers.",1622,Berkshire,455042.122728199,179742.716376643
213,"Backhouse, William","of Berks, arm. Christ Church, matric. 23 Feb., 1610-11, aged 17; a younger son of Samuel, of Swallowfield, Berks, a most renowned chymist, Rosicrucian,' etc., died 30 May, 1662. See Ath. Ox., iii. 576; & D.N.B.",1610,Berkshire,455042.122728199,179742.716376643
240,"Baldwin, John","s. William, of Maidenhead, Berks, pleb. Magdalen Hall, matric. 10 Oct., 1623, aged 17, B.A. 6 July, 1626; M.A. from St. Edmund Hall 16 May, 1629.",1623,Berkshire,455042.122728199,179742.716376643
285,"Barker, Henry","of Berks, eq. aur. fil. Broadgates Hall, matric. 24 Nov., 1615, aged 17; possibly a brother of Anthony 1623, son of Nathaniel 1618.",1615,Berkshire,455042.122728199,179742.716376643
288,"Barker, Nathaniel","of Berks, eq. fil. Trinity Coll., matric. 6 Nov., 1618, aged 18; B.A. 14 June, 1621, M.A. from Hart Hall 17 April, 1624, rector of Stoke Talmage, Oxon, 1630, brother of Henry 1615, and Anthony 1623. See Foster's Index Ecclesiasticus.",1618,Berkshire,455042.122728199,179742.716376643
306,"Barnard, Nathaniel","s. William, of Wokingham, Berks, pleb. Brasenose Coll., matric. 28 May, 1624, aged 15.",1624,Berkshire,455042.122728199,179742.716376643
355,"Bateman, Edward","of Berks, pleb. Magdalen Hall, matric. 23 June, 1621, aged 15; B.A. 7 Feb. 1623-4.",1621,Berkshire,455042.122728199,179742.716376643
356,"Bateman, John","of Berks, gent. Magdalen Hall, matric. 21 June, 1616, aged 15; B.A. 3 Feb., 161920, M.A. 4 July, 1622. [16]",1616,Berkshire,455042.122728199,179742.716376643
378,"Bayley, Richard","of Berks, gent. Hart Hall, matric. 19 April, 1616, aged 16.",1616,Berkshire,455042.122728199,179742.716376643
495,"Bilcliffe, Thomas","of Berks, arm. St. John's Coll., matric. 10 Nov., 1615, aged 16; a student of the Inner Temple 1615, as son of Thomas, of London. See Foster's Inns of Court Reg.",1615,Berkshire,455042.122728199,179742.716376643
542,"Blagrove, Francis","of Berks, pleb. New Coll., matric. 15 June, 1604, aged 13. [5]",1604,Berkshire,455042.122728199,179742.716376643
553,"Blandie, Edward","of Berks, gent. Magdalen Hall, matric. 21 June, 1616, aged 18; a student of the Middle Temple 1618, as 6th son of Adam, of Inglewoods, Berks, gent. See Foster's Inns of Court Reg.",1616,Berkshire,455042.122728199,179742.716376643
578,"Boden, Ralph","s. Nicholas, of Reading, Berks, gent. Magdalen Hall, matric. 28 Jan., 1624-5, aged 16; B.A. 22 Feb., 1627-8, M.A. 8 June, 1630, vicar of Aldermaston, Berks, 1633. See Foster's Index Ecclesiasticus.",1624,Berkshire,455042.122728199,179742.716376643
603,"Boothe, Esdras","of Berks, 'cler. fil.' New Coll., matric. 17 June, 1621, aged 19; B.A. 16 Jan., 1624-5, died 21 July, 1627, aged 26. See Gutch, i. 215.",1621,Berkshire,455042.122728199,179742.716376643
607,"Boothe, Thomas","of Berks, gent. New Coll., matric. 20 Oct., 1609, aged 20; B.C.L. 2 May, 1617.",1609,Berkshire,455042.122728199,179742.716376643
665,"Bradford, Thomas","s. John, of Blewberry, Berks, sacerd. Corpus Christi Coll., matric. 20 Feb., 1623-4, aged 12; B.A. from Balliol Coll. 3 Feb., 1626-7, rector of Milton Damerel, Devon, 1629. See Foster's Index Ecclesiasticus. [11]",1623,Berkshire,455042.122728199,179742.716376643
716,"Brickenden, Erasmus","of Berks, 'cler. fil.' New Coll., matric. 14 Oct., 1608, aged 19; fellow, sup. for B.C.L. 26 April, 1615.",1608,Berkshire,455042.122728199,179742.716376643
762,"Brooker, John","of Berks, pleb. St. Mary Hall, matric. 4 Dec., 1618, aged 15; B.A. 19 June, 1620, as Brooke, M.A. 15 May, 1623.",1618,Berkshire,455042.122728199,179742.716376643
772,"Browne, Alexander","s. Richard, of Tenford, Berks, gent. Trinity Coll., matric. 15 Nov., 1622, aged 18.",1622,Berkshire,455042.122728199,179742.716376643
781,"Browne, John","of Berks, gent. Magdalen Hall, matric. 26 June, 1621, aged 17; a student of Gray's Inn 1624. See Foster's Gray's Inn Reg.",1621,Berkshire,455042.122728199,179742.716376643
866,"Burnand, Nathaniel","of Berks, 'cler. fil.' Trinity Coll., matric. 12 Nov., 1619, aged 15, B.A. 7 July, 1623; M.A. from Magdalen Hall 1 July, 1626. See Benjamin 1626.",1619,Berkshire,455042.122728199,179742.716376643
919,"Callis, Abel","s. Robert, of Letcomb Bassett, Berks, sacerd. St. Mary Hall, matric. 4 April, 1623, aged 16, B.A. from St. Alban Hall 8 Feb., 1625-6; M.A. from St. Mary Hall 7 July, 1629.",1623,Berkshire,455042.122728199,179742.716376643
920,"Callis, Joel","of Berks, 'cler. fil.' Magdalen Hall, matric. 28 April, 1615, aged 18; B.A. 29 Oct., 1618, M.A. 20 April, 1624.",1615,Berkshire,455042.122728199,179742.716376643
921,"Callis, Nathaniel","of Berks, 'cler. fil.' Magdalen Hall, matric. 15 Feb., 1621-2, aged 19, B.A. 18 June, 1623; clerk of Magdalen Coll. 1624-31, M.A. 27 June, 1626. See Bloxam, ii. 58.",1621,Berkshire,455042.122728199,179742.716376643
922,"Callis, Samuel","of Berks, pleb. Magdalen Hall, matric. 4 Dec., 1607, aged 16; B.A. 27 June, 1611, M.A. 8 May, 1618. [5]",1607,Berkshire,455042.122728199,179742.716376643
933,"Cane, Richard","of Berks, pleb. Exeter Coll., matric. 28 June, 1616, aged 15.",1616,Berkshire,455042.122728199,179742.716376643
1001,"Catcher, Edward","of Berks, gent. All Souls' Coll., matric. 9 Nov., 1621, aged 18.",1621,Berkshire,455042.122728199,179742.716376643
1003,"Caulton, Robert","of Berks, pleb. Magdalen Hall, matric. 16 June, 1610, aged 17. [15]",1610,Berkshire,455042.122728199,179742.716376643
1109,"Clerke, Edward","1s. Edmund (rightly Edward), of Reading, Berks, arm. Magdalen Hall, matric. 28 Jan., 1624-5, aged 16; bar.-at-law, Lincoln's Inn, 1633, as son and heir of Sir Edward, of Reading, Berks, knt.; brother of John same date. See Foster's Judges and Barristers.",1624,Berkshire,455042.122728199,179742.716376643
1121,"Clarke, John (Clearke)","as Edward, of Reading, Berks, arm. Magdalen Hall, matric. 28 Jan., 1624-5, aged 13; B.A. 9 March, 1626-7. of Lincoln's Inn 1626, 'eq. fil.', brother of Edward same date. See Foster's Inns of Court Reg. [21]",1624,Berkshire,455042.122728199,179742.716376643
1208,"Cole, William","of Berks, 'cler. fil.' Christ Church, matric. 10 Nov., 1621, aged 30.",1621,Berkshire,455042.122728199,179742.716376643
1217,"Coles, Christopher","of Berks, pleb. St. John's Coll., matric. 16 June, 1610, aged 18; B.A. 28 June, 1610, M.A. 8 July, 1613, vicar of Finedon, Northants, 1615, etc. See Foster's Index Ecclesiasticus.",1610,Berkshire,455042.122728199,179742.716376643
1315,"Copley, John","of Berks, arm. fil. nat. max. St. John's Coll., matric. 15 Nov., 1616, aged 16; of the Middle Temple 1617, as son and heir of William of Langford, Berks, esq. See Foster's Inns of Court Reg.",1616,Berkshire,455042.122728199,179742.716376643
1323,"Corham, Roger (Chorham)","of Berks, gent. Hart Hall, matric. 3 May, 1611, aged 18; of Lincoln's Inn 1617, as 2nd son of Robert, of Holshott (Aldershot), Hants, gent., deceased. See Foster's Inns of Court Reg. [25]",1611,Berkshire,455042.122728199,179742.716376643
1326,"Cornish, John","of Berks, pleb. Balliol Coll., matric. 13 Dec., 1616, aged 17; B.A. 6 June, 1622, perhaps M.A. 7 June, 1627, as Edward.",1616,Berkshire,455042.122728199,179742.716376643
1366,"Coxeter, Nicholas (Coxiter)","of Berks, pleb. Broadgates Hall, matric. 10 Nov., 1615, aged 18; B.A. from Magdalen Hall 23 Oct., 1619, M.A. 26 June, 1622, vicar of Dunstew, Oxon, 1625. See Foster's Index Ecclesiasticus.",1615,Berkshire,455042.122728199,179742.716376643
1391,"Crockford, Ralph","of Berks, pleb. Merton Coll., matric. 19 Oct., 1621, aged 20; B.A. 31 Oct., 1621.",1621,Berkshire,455042.122728199,179742.716376643
1452,"Cupper, Richard","of Berks, arm. Queen's Coll., matric. 22 May, 1612, aged 17.",1612,Berkshire,455042.122728199,179742.716376643
1453,"Cupper, Thomas","of Berks, gent. St. Edmund Hall, matric. 23 Nov., 1604, aged 15.",1604,Berkshire,455042.122728199,179742.716376643
1543,"Day, William","of Berks, arm. Christ Church, matric. 9 June, 1615, aged 17.",1615,Berkshire,455042.122728199,179742.716376643
1545,"Dayrell, Paul","1s. Walter, of Abingdon, Berks, arm. St. John's Coll., matric. 22 Oct., 1624, aged 18; of Gray's Inn 1616, died in 1698, brother of Thomas same date, and of Walter 1628. See Foster's Gray's Inn Reg.",1624,Berkshire,455042.122728199,179742.716376643
1552,"Deane, John","of Berks, gent. New Coll., matric. 17 Nov., 1615, aged 19; B.C.L., 18 Jan., 1622-3, and fellow, died in 1626. See Gutch, i, 213.",1615,Berkshire,455042.122728199,179742.716376643
1564,"Denington, Henry","of Berks, pleb. Christ Church, matric. 14 Feb., 1611-12, aged 15.",1611,Berkshire,455042.122728199,179742.716376643
1586,"Dewe, Richard","of Berks, pleb. Magdalen Hall, matric. 15 June, 1604, aged 14.",1604,Berkshire,455042.122728199,179742.716376643
1608,"Dilland, Israel","of Berks, pleb. Magdalen Hall, matric. 16 Nov., 1604, aged 16; B.A. from Hart Hall 30 May, 1608, M.A. 5 July, 1611, bar.-at-law, Gray's Inn, 1617. See Foster's Judges and Barristers.",1604,Berkshire,455042.122728199,179742.716376643
1632,"Dobson, Gerard","of Berks, pleb. Magdalen Coll., matric. 16 June, 1610, aged 18; B.A. 22 Jan., 1610-11, M.A. 25 Oct., 1613, vicar of High Wycombe, Bucks, 1629. See Foster's Index Ecclesiasticus.",1610,Berkshire,455042.122728199,179742.716376643
1649,"Dolman, Humphrey","of Berks, arm. Queen's Coll., matric. 3 Nov., 1609, aged 16; bar.-at-law, Lincoln's Inn, 1619 (as son of Thomas, of Shaw, Berks, gent.), brother of Thomas 1617, and father of Thomas 1638. See Foster's Judges and Barristers.",1609,Berkshire,455042.122728199,179742.716376643
1650,"Dolman, Thomas","of Berks, gent. Hart Hall, matric. 7 Nov., 1617, aged 15; of Lincoln's Inn 1619, as 2nd son of Thomas, of Shawe, Berks, esq., brother of Humphrey 1609. See Foster's Inns of Court Reg. [15]",1617,Berkshire,455042.122728199,179742.716376643
1729,"Dunch, Henry","s. William, of Little Wittenham, Berks, militis. Oriel Coll., matric. 18 June, 1624, aged 17; B.A. 7 July, 1625, of Gray's Inn 1626. See Foster's Gray's Inn Reg. [30]",1624,Berkshire,455042.122728199,179742.716376643
1731,"Dunch, William","of Berks, militis fil. (2nd son). Oriel Coll., matric. 19 Oct., 1621, aged 16; baptized 4 March, 1605, 2nd son of the last named.",1621,Berkshire,455042.122728199,179742.716376643
1777,"Eales, Alban","s. William, of Hatford, Berks, sacerd. Magdalen Hall., matric. 31 Jan., 1622-3, aged 14; B.A. 15 June, 1626, M.A. 28 April, 1629, one of the six preachers of Canterbury cathedral, 1665, rector of Aldington, Kent, 1665. See Foster's Index Eccl.",1622,Berkshire,455042.122728199,179742.716376643
1866,"Emerson, Thomas","s. Giles, of Newbery, Berks, pleb. New Inn Hall, matric. 18 Feb., 1624-5, aged 18; B.A. from Magdalen Hall 24 Jan., 1627-8, M.A. 8 June, 1630.",1624,Berkshire,455042.122728199,179742.716376643
1921,"Evatts, William","of Berks, pleb. Oriel Coll., matric. 8 Feb., 1621-2, aged 15; B.A. 26 June, 1622; M.A. from St. Mary Hall 30 June, 1627, vicar of Rauceby, co. Lincoln, 1636, and rector of Thorganby 1640, vicar of Ashby-de-la-Laund 1642. See Foster's Index Eccl.",1621,Berkshire,455042.122728199,179742.716376643
