participant_id,group,l1,instruction,aoa,years_learning,item_id,tense,adverb_type,adverb_example,rating
N03,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N03,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,5
N03,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,1
N03,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,5
N03,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N03,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N03,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N03,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N03,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,6
N03,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,3
N03,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N03,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N03,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N03,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N03,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,3
N03,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N03,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N04,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,5
N04,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N04,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,3
N04,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,1
N04,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,3
N04,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N04,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N04,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,5
N04,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N04,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,5
N04,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,3
N04,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,3
N04,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N04,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,5
N04,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,5
N04,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N04,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,2
N04,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N05,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N05,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,7
N05,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,4
N05,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,2
N05,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,4
N05,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N05,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,6
N05,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N05,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N05,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,2
N05,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,3
N05,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,2
N05,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N05,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,5
N05,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,5
N05,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,2
N05,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N05,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N06,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N06,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,7
N06,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N06,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N06,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,1
N06,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N06,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N06,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N06,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N06,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,3
N06,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,5
N06,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N06,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N06,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N06,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N06,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N06,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N06,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N07,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,4
N07,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N07,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,2
N07,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,1
N07,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,1
N07,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N07,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N07,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,5
N07,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,4
N07,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,1
N07,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,2
N07,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,1
N07,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,3
N07,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,3
N07,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,3
N07,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,2
N07,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N07,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N08,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N08,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N08,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N08,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N08,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N08,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N08,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N08,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,6
N08,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,6
N08,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,5
N08,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N08,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,3
N08,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,6
N08,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N08,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N08,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,2
N08,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,4
N08,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,4
N09,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,5
N09,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,7
N09,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N09,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,4
N09,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,3
N09,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,5
N09,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,6
N09,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N09,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N09,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,4
N09,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,5
N09,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N09,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,6
N09,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N09,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,6
N09,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,2
N09,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,2
N09,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N10,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N10,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,5
N10,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,4
N10,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,2
N10,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,1
N10,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N10,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N10,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,3
N10,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N10,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,1
N10,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,1
N10,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,1
N10,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,4
N10,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N10,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,1
N10,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N10,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N10,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N11,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N11,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,4
N11,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,4
N11,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N11,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,3
N11,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N11,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N11,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,5
N11,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,5
N11,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,3
N11,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N11,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,2
N11,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,6
N11,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N11,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N11,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N11,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N11,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N12,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,6
N12,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N12,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,6
N12,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,2
N12,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N12,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N12,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,6
N12,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,6
N12,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N12,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,4
N12,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,6
N12,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N12,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N12,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N12,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N12,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N12,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N12,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,3
N13,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,4
N13,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N13,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,6
N13,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N13,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N13,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,1
N13,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,5
N13,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N13,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,6
N13,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,7
N13,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N13,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,2
N13,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,6
N13,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N13,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N13,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N13,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N13,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N14,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,5
N14,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,5
N14,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,6
N14,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N14,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,3
N14,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N14,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,5
N14,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N14,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N14,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,3
N14,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,1
N14,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N14,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N14,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,6
N14,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N14,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N14,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,3
N14,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N15,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,6
N15,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,4
N15,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N15,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,1
N15,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N15,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N15,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N15,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N15,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N15,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,6
N15,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N15,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,3
N15,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N15,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N15,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N15,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N15,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,4
N15,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,2
N16,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N16,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N16,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,7
N16,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,4
N16,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,1
N16,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,4
N16,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,6
N16,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N16,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,6
N16,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,3
N16,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,4
N16,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,4
N16,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,5
N16,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N16,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,6
N16,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,4
N16,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,2
N16,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,3
N17,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,7
N17,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,5
N17,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,5
N17,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,3
N17,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,4
N17,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,3
N17,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N17,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N17,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N17,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,7
N17,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,5
N17,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,7
N17,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,5
N17,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,5
N17,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N17,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,1
N17,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,1
N17,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,3
N18,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,5
N18,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,7
N18,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,6
N18,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,4
N18,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,2
N18,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N18,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,2
N18,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,7
N18,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N18,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,3
N18,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,3
N18,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,1
N18,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,4
N18,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,7
N18,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N18,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,3
N18,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,3
N18,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
N19,native,Spanish,,,,item_01,PPS,anterioridad_inmediata,hace un rato,5
N19,native,Spanish,,,,item_02,PPS,anterioridad_inmediata,hace un rato,6
N19,native,Spanish,,,,item_03,PPS,anterioridad_inmediata,hace un rato,6
N19,native,Spanish,,,,item_04,PPS,momento_no_terminado,hoy / esta mañana,2
N19,native,Spanish,,,,item_05,PPS,momento_no_terminado,hoy / esta mañana,1
N19,native,Spanish,,,,item_06,PPS,momento_no_terminado,hoy / esta mañana,2
N19,native,Spanish,,,,item_07,PPS,anterioridad_lejana,hace dos meses,7
N19,native,Spanish,,,,item_08,PPS,anterioridad_lejana,hace dos meses,6
N19,native,Spanish,,,,item_09,PPS,anterioridad_lejana,hace dos meses,7
N19,native,Spanish,,,,item_10,PPC,anterioridad_inmediata,hace un rato,4
N19,native,Spanish,,,,item_11,PPC,anterioridad_inmediata,hace un rato,2
N19,native,Spanish,,,,item_12,PPC,anterioridad_inmediata,hace un rato,2
N19,native,Spanish,,,,item_13,PPC,momento_no_terminado,hoy / esta mañana,7
N19,native,Spanish,,,,item_14,PPC,momento_no_terminado,hoy / esta mañana,4
N19,native,Spanish,,,,item_15,PPC,momento_no_terminado,hoy / esta mañana,7
N19,native,Spanish,,,,item_16,PPC,anterioridad_lejana,hace dos meses,3
N19,native,Spanish,,,,item_17,PPC,anterioridad_lejana,hace dos meses,2
N19,native,Spanish,,,,item_18,PPC,anterioridad_lejana,hace dos meses,1
