person name,Wikidata,Qids,country of citizenship,occupation,sex or gender,date of birth,,URLs,COMMENTS
Pliny,Pliny the Elder,Q82778,Ancient Rome,writer,male,0020-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q82778,notes
,,,,historian,,,,,
,,,,naturalist,,,,,
,,,,military personnel,,,,,
,,,,poet,,,,,
,,,,philosopher,,,,,
,,,,art historian,,,,,
,,,,civil servant,,,,,
,,,,military commander,,,,,
Pliny,Pliny the Elder,Q82778,Ancient Rome,writer,male,0020-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q82778,notes
,,,,historian,,,,,
,,,,naturalist,,,,,
,,,,military personnel,,,,,
,,,,poet,,,,,
,,,,philosopher,,,,,
,,,,art historian,,,,,
,,,,civil servant,,,,,
,,,,military commander,,,,,
Pope Leo X,Leo X,Q49237,Papal States,Latin Catholic priest,male,1475-12-11T00:00:00Z,,https://www.wikidata.org/wiki/Q49237,
,,,,Catholic priest,,,,,
"Psammenitus, King of Egypt",Psamtik III,Q316278,Ancient Egypt,statesperson,male,0600-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q316278,
"Psammenitus, King of Egypt",Psamtik III,Q316278,Ancient Egypt,statesperson,male,0600-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q316278,
"Raiscïac, a German lord",Raiscïac,Q135004989,Germany,,male,,,https://www.wikidata.org/wiki/Q135004989,
Seneca,Seneca,Q2054,Ancient Rome,playwright,male,0104-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q2054,notes
,,,,poet,,,,,
,,,,philosopher,,,,,
,,,,aphorist,,,,,
,,,,statesperson,,,,,
,,,,politician,,,,,
,,,,writer,,,,,
Sophocles,Sophocles,Q7235,Classical Athens,tragedy writer,male,0496-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q7235,
,,,,playwright,,,,,
,,,,writer,,,,,
,,,,priest,,,,,
,,,,politician,,,,,
Thalna,Manius Juventius Thalna,Q3290279,Ancient Rome,Ancient Roman politician,male,0250-01-01T00:00:00Z,,https://www.wikidata.org/wiki/Q3290279,
,,,,ancient Roman military personnel,,,,,
Virgil,Virgil,Q1398,Ancient Rome,poet,male,0170-10-15T00:00:00Z,,https://www.wikidata.org/wiki/Q1398,notes
,,,,writer,,,,,
Virgil,Virgil,Q1398,Ancient Rome,poet,male,0170-10-15T00:00:00Z,,https://www.wikidata.org/wiki/Q1398,notes
,,,,writer,,,,,
